avg_diff,std_diff,min_diff,avg,std,min,won
112.51776,65.84514,-93.865746,772.41113,285.48206,94.29717,1
94.88898,39.577545,99.24078,762.93976,273.0248,201.66779,0
-74.36011,-0.42460632,-193.91307,719.77893,218.44238,176.40556,1
-17.728638,-14.2907715,-34.308304,697.9868,258.7684,141.37334,0
-11.886475,-19.967804,-17.441086,759.2911,230.4106,207.81465,1
-30.793457,-9.356781,32.54712,714.09454,235.73642,184.4414,1
-38.979675,-0.3432312,4.7514343,728.39197,257.0558,170.70323,1
-58.16046,-1.2388916,-33.826042,702.04895,285.3579,101.699486,1
29.072388,-10.80954,-176.6464,771.89856,278.13004,67.09373,1
-42.78076,23.617035,-93.87295,720.7959,264.49393,79.6334,1
-29.783936,9.844238,15.021446,695.0274,235.65752,131.90617,1
-3.26062,25.568146,44.482613,692.99994,271.20334,130.61163,1
-27.097778,-17.376434,-98.12334,702.5857,231.882,141.96063,0
-16.180054,-17.927933,-41.53501,701.10443,218.91035,103.68966,0
25.904785,13.469437,20.515602,708.5346,256.51242,115.75944,0
10.108215,-3.346405,14.539215,736.33765,256.08307,108.55273,0
-26.029114,15.566101,-32.05974,687.96967,248.22652,123.2471,0
84.61151,19.42717,70.61922,777.9028,259.6742,152.33064,1
40.568726,-55.19287,70.71358,791.0638,221.57999,309.50735,1
48.686096,6.1342316,90.77702,735.3901,250.95396,183.47725,1
5.295166,-37.44304,-25.550598,705.5353,232.9311,122.081055,0
69.90802,-42.579712,110.05216,755.5603,236.39655,236.85376,0
19.904846,-36.74492,99.58119,722.53284,237.43987,179.34676,1
-6.64386,-43.649185,10.144478,716.8665,236.71645,92.467186,0
-71.562805,-4.413147,-52.657494,718.822,262.00967,94.95254,0
52.924377,-20.707214,71.46103,765.54944,261.36853,119.25149,1
89.49573,2.7696228,41.621056,786.188,261.70728,167.28868,1
43.709656,6.652176,-49.61509,762.5274,259.5696,94.732445,1
107.99597,36.633667,-10.121902,783.7108,265.11905,180.70665,0
56.17395,4.1858215,44.325516,769.08246,254.73996,223.18324,1
-26.59607,6.6057587,-45.45179,651.5472,251.47012,94.5362,0
119.31769,12.386307,84.76651,774.40497,257.3889,169.31166,0
48.441345,-2.0323486,-53.095177,762.6737,254.5521,116.805046,1
-90.99072,15.193115,-25.57228,675.27844,263.48456,80.989365,0
138.4137,30.816147,115.316376,830.88495,277.14743,244.95601,0
58.203064,5.5565796,-66.16531,782.92975,272.78516,108.80533,1
