team_name,avg_spacing,std_spacing,min_spacing,won
ULTIMATES,747.6762,250.2165,72.87201,0
ULTIMATES,736.5259,277.14273,111.46442,0
DELETED,750.40576,252.77928,148.9876,0
ULTIMATES,706.18536,259.83258,137.19048,1
ULTIMATES,783.2134,298.75638,204.92455,0
DELETED,751.8823,258.98038,253.40926,0
DELETED,763.7662,260.9763,144.43768,1
DELETED,802.0533,247.4272,112.94873,1
DELETED,740.99506,272.12537,96.93463,0
DELETED,746.24615,271.80362,77.69795,0
ULTIMATES,661.107,255.43405,129.33481,0
ULTIMATES,713.1883,249.19713,148.56017,1
ULTIMATES,657.11584,246.74648,152.52594,0
9LIVES,769.3016,251.76,190.9071,0
9LIVES,738.8829,255.37987,88.12018,1
9LIVES,723.48596,273.0971,83.13431,0
9LIVES,735.21564,266.1663,132.8706,0
9LIVES,762.49243,254.82379,165.08447,0
COMPLEXITY,698.7124,252.70049,155.98557,0
COMPLEXITY,689.19275,235.82202,157.66609,0
COMPLEXITY,703.894,226.35243,210.22655,0
SPACESTATION,797.6053,277.52676,133.69514,1
SPACESTATION,713.1321,275.6615,86.65936,1
SPACESTATION,772.7122,268.12433,107.52404,0
SPACESTATION,717.4733,267.3134,159.08302,0
SPACESTATION,737.05457,300.49744,192.37372,0
100%,733.3658,266.15823,27.68277,0
100%,789.0311,257.8153,320.48425,1
100%,758.7369,282.23715,124.35363,0
100%,752.5218,255.91345,153.78822,0
100%,713.99384,247.89478,176.06201,0
100%,743.8827,254.0649,101.43246,0
100%,762.6953,253.4178,104.79331,1
GEEKAY ESPORTS,774.26373,247.05396,208.70789,0
KARMINE CORP,783.649,265.30307,135.39987,1
NOMSTER,741.89264,255.40453,156.56075,0
KARMINE CORP,759.67834,263.03635,170.14412,1
NOMSTER,699.79834,288.18506,73.04366,1
GEEKAY ESPORTS,822.9569,253.9082,175.49213,1
KARMINE CORP,744.6068,217.86034,190.75713,1
GEEKAY ESPORTS,791.9489,254.36841,156.87888,1
NOMSTER,702.8006,270.49185,116.58423,0
GEEKAY ESPORTS,785.95624,230.95306,154.74985,1
